index,ID,Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_Revenue,Response,Marital_Status_Binary,Kids,date,monto_gastado
1830,6859,36,Graduation,Single,29236.0,08-10-2013,30,37,4,24,16,9,9,2,4,0,3,9,0,0,0,0,0,0,11,0,0,1,Oct,99
1983,4470,61,Master,Married,58646.0,10-06-2013,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,11,0,1,1,Jun,140
2181,8858,51,PhD,Married,44325.0,07-03-2013,69,516,0,21,0,0,5,4,8,2,7,8,0,1,0,0,0,0,11,0,1,1,March,542
1270,1740,79,Graduation,Married,55956.0,07-04-2014,22,760,38,104,50,9,38,2,7,3,4,4,0,1,0,0,0,0,11,0,1,0,Apr,999
2188,10652,66,Master,Together,65487.0,10-01-2014,48,240,67,500,199,0,163,3,3,5,6,2,0,0,0,0,0,0,11,0,1,0,Yan,1169
186,5823,53,PhD,Single,32303.0,08-03-2014,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,11,0,0,1,March,39
1522,1998,47,Graduation,Single,37697.0,07-02-2014,82,34,6,21,11,4,8,1,2,1,3,6,0,0,0,0,0,0,11,0,0,1,Feb,84
881,9653,48,Graduation,Married,35797.0,16-10-2012,16,27,1,14,4,1,21,2,2,0,3,8,0,0,0,0,0,0,11,0,1,1,Oct,68
2127,6292,37,PhD,Married,82333.0,30-03-2013,60,1311,0,359,46,89,17,1,4,3,10,2,0,0,1,0,0,0,11,1,1,0,March,1822
1568,10478,73,PhD,Married,55517.0,27-09-2012,53,483,0,108,0,6,36,5,11,1,6,9,0,0,0,0,0,0,11,1,1,2,Sep,633
150,3830,70,Master,Married,59354.0,24-04-2014,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,11,0,1,2,Apr,459
460,1992,59,Graduation,Married,60597.0,01-01-2014,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,0,11,1,1,1,Yan,893
741,7458,67,Master,Together,34941.0,06-03-2013,26,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,11,0,1,2,March,97
247,9265,70,Graduation,Married,75027.0,09-01-2013,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,11,0,1,1,Yan,1390
1064,10766,59,PhD,Married,65526.0,11-04-2014,22,397,19,69,12,0,9,1,4,4,8,2,0,0,0,0,0,0,11,0,1,1,Apr,506
546,10955,59,Graduation,Widow,85620.0,07-01-2014,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,11,1,0,0,Yan,1600
262,4200,53,Master,Married,44159.0,17-06-2014,85,167,2,62,24,13,7,4,4,1,6,5,0,0,0,0,0,0,11,0,1,1,Jun,275
1346,10390,64,2n Cycle,Married,26887.0,10-02-2013,27,6,7,4,3,4,6,1,1,0,3,6,0,0,0,0,0,0,11,0,1,1,Feb,30
1230,6230,52,Graduation,Divorced,44421.0,15-02-2013,53,110,5,59,7,1,7,5,5,0,4,8,0,0,0,0,0,0,11,0,0,2,Feb,189
943,5386,70,Graduation,Together,94384.0,04-03-2013,62,1111,24,790,160,45,172,0,5,8,5,2,0,1,1,1,0,0,11,1,1,0,March,2302
1785,9648,56,Graduation,Single,46904.0,03-11-2012,20,153,4,56,0,9,31,4,5,1,4,8,0,0,0,0,0,0,11,0,0,2,November,253
518,4607,64,Graduation,Together,71367.0,23-08-2013,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0,11,0,1,0,Aug,777
1082,8707,67,Graduation,Married,79456.0,22-08-2012,12,565,42,548,64,83,99,1,5,6,4,3,0,0,0,0,0,0,11,1,1,0,Aug,1401
1125,5995,61,Graduation,Divorced,39552.0,18-12-2012,54,165,3,147,4,24,41,7,6,2,5,8,0,0,0,0,0,0,11,1,0,2,December,384
1837,332,66,Graduation,Married,47743.0,22-03-2013,56,198,2,43,0,12,20,3,4,1,6,6,0,1,0,0,0,0,11,0,1,1,March,275
729,11101,32,Graduation,Together,89891.0,15-04-2013,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,11,0,1,0,Apr,836
2085,1052,54,Graduation,Married,56796.0,16-02-2013,24,656,38,161,62,47,37,3,8,9,7,7,0,0,0,0,0,0,11,0,1,1,Feb,1001
674,2920,48,PhD,Single,52614.0,01-12-2012,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,11,0,0,1,December,990
226,7375,47,Graduation,Together,51369.0,25-10-2012,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,11,0,1,1,Oct,576
188,6982,47,Graduation,Married,74068.0,19-03-2013,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,11,0,1,0,March,1581
274,10967,60,Graduation,Divorced,33378.0,06-02-2013,38,33,6,40,3,7,10,3,2,0,4,7,0,0,0,0,0,0,11,0,0,2,Feb,99
1387,8702,47,2n Cycle,Together,26907.0,20-08-2013,10,9,1,7,0,3,2,2,1,0,3,7,0,0,0,0,0,0,11,0,1,2,Aug,22
2045,5474,53,Graduation,Single,43020.0,30-11-2013,79,45,7,99,4,25,43,3,4,1,4,6,0,0,0,0,0,0,11,0,0,1,November,223
770,10582,44,Graduation,Married,72063.0,03-07-2013,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,11,0,1,1,July,758
455,4148,51,Graduation,Married,38988.0,20-08-2012,90,164,24,103,12,3,42,7,5,1,6,8,0,0,0,0,0,0,11,0,1,3,Aug,348
328,10350,73,PhD,Married,54432.0,09-05-2013,37,33,0,5,0,0,0,1,1,0,3,4,0,0,0,0,0,0,11,0,1,3,May,38
12,2125,64,Graduation,Divorced,63033.0,15-11-2013,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,11,0,0,0,November,1102
338,9560,58,Graduation,Together,83003.0,03-03-2013,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,0,11,1,1,0,March,1674
610,7930,54,Master,Single,26877.0,19-08-2013,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,11,0,0,0,Aug,268
1885,10702,39,Graduation,Single,52413.0,03-11-2012,67,185,8,133,56,56,12,2,7,1,7,7,0,0,0,0,0,0,11,0,0,1,November,450
161,9260,78,PhD,Married,70356.0,05-11-2012,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,11,0,1,0,November,1706
127,3381,70,Master,Married,54348.0,08-06-2014,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,11,0,1,2,Jun,90
1054,5731,40,Master,Married,27100.0,05-04-2013,64,12,0,13,2,0,10,1,1,0,3,7,0,0,0,0,0,0,11,0,1,1,Apr,37
1455,4399,54,Graduation,Together,68695.0,25-06-2014,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,11,0,1,0,Jun,1091
628,3469,46,PhD,Divorced,34487.0,06-09-2012,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,11,0,0,2,Sep,103
724,4692,47,Graduation,Married,7500.0,01-08-2012,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,0,11,1,1,1,Aug,71
1931,2878,76,PhD,Married,67472.0,28-09-2013,93,162,31,127,8,17,69,2,4,2,7,3,0,0,0,0,0,0,11,0,1,1,Sep,414
520,3696,58,Graduation,Divorced,30630.0,27-01-2014,67,27,1,12,2,0,10,2,2,0,3,7,0,0,0,0,0,0,11,0,0,2,Yan,52
1395,4405,67,Master,Married,63915.0,30-07-2013,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,11,0,1,2,July,789
1731,10304,64,Graduation,Married,18690.0,28-12-2012,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,11,0,1,0,December,60
344,8234,50,Basic,Together,27190.0,15-08-2013,13,1,6,7,0,1,3,1,1,0,2,8,1,0,0,0,0,0,11,1,1,1,Aug,18
1050,4767,58,2n Cycle,Married,70924.0,07-04-2014,41,635,114,254,132,152,76,1,6,6,7,3,0,0,1,0,0,0,11,0,1,0,Apr,1363
357,6184,54,PhD,Married,68462.0,12-12-2012,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,11,0,1,0,December,1670
572,8181,45,2n Cycle,Single,38593.0,13-09-2013,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,11,0,0,1,Sep,177
1670,8143,38,PhD,Single,37929.0,30-07-2013,49,202,2,46,3,2,10,2,4,2,5,7,0,1,0,1,0,0,11,1,0,0,July,265
558,8420,53,2n Cycle,Married,15315.0,03-08-2013,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,11,0,1,0,Aug,64
1912,6417,52,Master,Together,80573.0,14-10-2012,85,829,138,430,60,92,15,1,4,6,13,2,0,0,0,0,0,0,11,0,1,0,Oct,1564
1340,9386,61,Graduation,Together,50127.0,29-05-2014,88,274,0,21,4,6,15,1,5,1,6,6,0,1,0,0,0,0,11,0,1,1,May,320
284,8962,48,Master,Married,44319.0,17-04-2014,18,26,0,8,0,0,3,2,2,0,3,5,0,0,0,0,0,0,11,0,1,2,Apr,37
997,11188,66,Graduation,Together,26091.0,25-02-2014,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,11,0,1,2,Feb,89
1743,10814,76,Graduation,Together,70321.0,16-01-2013,6,303,23,751,82,26,191,1,6,5,13,4,0,0,0,0,0,0,11,1,1,0,Yan,1376
699,1277,63,Graduation,Together,78468.0,09-04-2014,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,11,0,1,0,Apr,1004
1090,1127,50,PhD,Married,85844.0,29-05-2014,62,938,19,843,25,95,38,1,6,6,7,2,0,0,1,0,0,0,11,0,1,0,May,1958
1231,7325,37,PhD,Together,38197.0,29-06-2013,86,23,0,11,2,1,3,1,1,0,3,5,0,0,0,0,0,0,11,0,1,1,Jun,40
1671,1964,72,Graduation,Together,86610.0,05-09-2013,66,446,107,768,33,196,53,1,5,6,6,2,0,0,0,0,0,0,11,0,1,0,Sep,1603
1153,5031,49,Graduation,Together,83145.0,22-09-2012,14,777,35,731,39,137,114,1,5,9,11,2,0,0,1,0,0,0,11,1,1,0,Sep,1833
2083,5396,35,Graduation,Married,68487.0,13-01-2013,48,758,12,385,33,89,89,1,9,7,13,4,0,0,0,0,0,0,11,0,1,0,Yan,1366
1204,2995,66,Master,Together,66636.0,17-08-2013,64,291,10,689,84,10,0,1,3,4,9,1,0,0,0,0,0,0,11,0,1,0,Aug,1084
84,535,36,Graduation,Divorced,81361.0,25-02-2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,11,0,0,0,Feb,778
1443,4530,75,Master,Widow,78427.0,24-10-2012,36,972,19,595,180,26,138,3,3,7,10,3,0,0,0,1,0,0,11,1,0,0,Oct,1930
1555,7791,56,Master,Married,37054.0,15-09-2013,89,12,1,6,0,1,5,2,1,0,3,7,0,0,0,0,0,0,11,0,1,2,Sep,25
2133,642,43,Basic,Married,16005.0,14-08-2012,69,1,3,2,20,30,47,3,2,1,2,8,0,0,0,0,0,0,11,0,1,1,Aug,103
339,1150,124,PhD,Together,83532.0,26-09-2013,36,755,144,562,104,64,224,1,4,6,4,1,0,0,1,0,0,0,11,0,1,0,Sep,1853
514,182,77,PhD,Together,44124.0,11-05-2013,62,284,0,55,0,6,52,4,6,2,5,8,0,0,0,0,0,0,11,0,1,1,May,397
828,2150,65,PhD,Widow,80995.0,11-05-2013,83,860,28,409,73,56,56,1,8,9,4,4,0,0,0,0,0,0,11,0,0,1,May,1482
78,10401,47,2n Cycle,Together,26326.0,04-09-2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,11,0,1,0,Sep,18
322,8275,58,PhD,Divorced,47025.0,09-02-2014,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,11,0,0,2,Feb,20
2154,2711,47,Master,Together,30560.0,27-06-2013,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,11,0,1,1,Jun,31
443,10642,34,Graduation,Single,30279.0,30-12-2012,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,11,0,0,1,December,37
1648,6409,56,Graduation,Divorced,57136.0,18-05-2013,18,267,140,599,34,12,127,1,7,5,7,6,0,0,0,0,0,0,11,1,0,0,May,1179
1733,10129,57,Graduation,Together,82427.0,12-03-2014,35,482,147,509,104,107,107,1,3,5,12,1,0,0,1,0,0,0,11,0,1,0,March,1456
1664,8299,34,PhD,Single,33996.0,11-09-2013,46,40,2,15,8,0,6,1,1,1,3,4,0,0,0,0,0,0,11,0,0,0,Sep,71
1167,6263,55,Graduation,Together,35322.0,22-08-2012,34,28,9,37,12,7,13,3,2,0,4,8,0,0,0,0,0,0,11,0,1,3,Aug,106
823,3855,60,Graduation,Married,22419.0,18-04-2013,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,11,0,1,0,Apr,162
427,8746,34,Graduation,Married,75433.0,05-04-2014,28,800,0,297,0,34,57,2,2,5,10,6,0,1,0,1,0,0,11,0,1,1,Apr,1188
878,1446,67,Master,Single,86424.0,05-04-2014,12,387,68,569,89,45,68,1,6,9,12,1,0,0,0,0,0,0,11,0,0,0,Apr,1226
196,6999,43,Master,Married,69661.0,13-05-2014,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,11,0,1,0,May,834
908,6534,49,Graduation,Together,47889.0,04-01-2014,94,29,0,29,0,5,4,1,2,0,3,5,0,0,0,0,0,0,11,0,1,1,Yan,67
15,2114,77,PhD,Single,82800.0,24-11-2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,11,1,0,0,November,1315
561,3179,43,Graduation,Single,81741.0,16-06-2013,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,11,0,0,0,Jun,1572
2141,9216,52,Graduation,Married,35788.0,23-01-2014,34,23,2,11,3,1,4,2,2,0,3,6,0,0,0,0,0,0,11,0,1,2,Yan,44
1908,3265,64,Graduation,Married,35701.0,19-03-2013,36,21,1,9,7,3,5,1,1,0,3,6,0,0,0,0,0,0,11,0,1,0,March,46
1070,10536,52,PhD,Together,32892.0,25-05-2014,78,26,0,15,2,1,2,2,3,0,3,8,0,0,0,0,0,0,11,0,1,1,May,46
955,10031,47,PhD,Married,16927.0,10-02-2013,50,20,2,23,3,1,4,5,3,0,4,8,0,0,0,0,0,0,11,0,1,2,Feb,53
1250,9606,58,PhD,Married,69969.0,27-08-2013,64,882,29,514,38,29,44,1,4,2,6,3,0,0,1,1,0,0,11,1,1,0,Aug,1536
251,6340,38,Graduation,Single,29938.0,27-10-2013,52,3,3,7,0,2,11,2,1,0,3,6,0,0,0,0,0,0,11,0,0,1,Oct,26
1562,9530,35,Graduation,Married,24645.0,01-11-2012,16,5,3,4,4,1,0,1,1,0,2,8,0,0,0,0,0,0,11,0,1,1,November,17
1197,6606,54,Master,Married,70091.0,31-03-2013,11,964,34,137,15,0,11,2,5,2,10,8,0,1,0,0,0,0,11,0,1,1,March,1161
108,3629,45,Graduation,Single,38557.0,19-12-2012,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,11,0,0,1,December,145
205,624,39,Master,Single,18890.0,10-11-2012,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,11,1,0,0,November,35
1791,9150,60,PhD,Single,48918.0,12-04-2014,21,52,0,9,0,0,1,2,1,0,4,4,0,0,0,0,0,0,11,0,0,2,Apr,62
917,8362,41,PhD,Married,84169.0,07-08-2013,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,11,1,1,0,Aug,1919
1139,11166,62,Graduation,Married,49678.0,02-02-2013,81,229,5,56,3,2,20,2,6,2,4,7,0,0,0,0,0,0,11,0,1,1,Feb,315
1808,1619,67,Graduation,Married,90369.0,28-04-2014,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,0,11,1,1,0,Apr,1588
1817,10057,72,Graduation,Single,72282.0,19-07-2013,70,503,27,419,90,139,153,1,5,7,9,7,0,0,0,0,0,0,11,1,0,0,July,1331
1882,5180,55,PhD,Divorced,50616.0,18-04-2014,56,128,0,16,0,1,4,2,4,0,4,7,0,0,0,0,0,0,11,0,0,1,Apr,149
433,6694,59,Graduation,Married,75236.0,25-11-2013,27,438,66,400,12,38,114,1,8,3,13,4,0,0,0,0,0,0,11,0,1,1,November,1068
446,5954,51,Master,Divorced,42618.0,09-10-2013,92,76,14,74,13,5,10,2,5,0,4,8,0,0,0,0,0,0,11,0,0,1,Oct,192
276,3445,67,Graduation,Single,60714.0,17-01-2013,56,216,162,224,101,92,162,2,7,4,10,5,0,0,0,0,0,0,11,1,0,0,Yan,957
693,9316,71,Basic,Together,13084.0,02-11-2013,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,11,0,1,0,November,29
170,5610,58,Graduation,Together,33456.0,21-04-2014,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,11,0,1,2,Apr,36
749,4073,69,2n Cycle,Married,63564.0,29-01-2014,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,0,11,1,1,0,Yan,1215
619,10862,63,Master,Married,30522.0,17-08-2012,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,11,0,1,1,Aug,326
504,10160,67,Master,Together,50943.0,21-06-2013,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,11,0,1,1,Jun,46
1886,7505,66,PhD,Married,44155.0,19-01-2014,24,22,1,9,0,0,14,1,1,1,2,4,0,0,0,0,0,0,11,0,1,2,Yan,46
1624,7019,60,Graduation,Together,54414.0,23-01-2013,49,109,18,16,24,26,18,4,3,1,5,4,0,0,0,0,0,0,11,0,1,2,Yan,211
337,4099,51,Graduation,Married,30675.0,12-11-2012,14,10,2,16,11,2,21,1,1,0,3,8,0,0,0,0,0,0,11,0,1,1,November,62
359,4107,75,PhD,Together,46681.0,08-10-2013,52,269,15,69,15,19,38,2,4,6,4,5,0,0,0,0,0,0,11,0,1,2,Oct,425
1178,2918,42,Graduation,Divorced,28510.0,13-04-2013,72,44,5,19,0,4,19,3,2,0,4,5,0,0,0,0,0,0,11,0,0,2,Apr,91
44,2139,48,Master,Married,7500.0,02-10-2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,11,0,1,1,Oct,31
1567,4390,69,Graduation,Together,75315.0,15-04-2014,14,459,15,171,142,23,31,2,5,4,12,2,0,0,0,0,0,0,11,0,1,1,Apr,841
2107,340,53,Graduation,Divorced,72967.0,15-12-2012,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,0,11,1,0,1,December,497
461,7851,74,Graduation,Widow,70165.0,22-09-2013,60,161,0,253,199,191,122,1,3,7,11,1,0,0,0,0,0,0,11,0,0,0,Sep,926
405,194,58,Graduation,Married,48006.0,09-06-2014,55,23,0,11,3,2,2,1,1,0,3,6,0,0,0,0,0,0,11,0,1,2,Jun,41
1049,966,57,Graduation,Married,44529.0,05-07-2013,98,538,13,91,17,6,26,6,6,2,11,5,0,1,0,0,0,0,11,0,1,1,July,691
803,9930,79,PhD,Single,82716.0,05-11-2013,8,606,148,228,15,148,22,1,6,8,13,2,0,0,0,0,0,0,11,0,0,0,November,1167
592,4501,58,Master,Single,69882.0,10-11-2013,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,11,0,0,0,November,1478
1958,2109,33,Graduation,Single,96843.0,23-04-2013,60,448,71,951,40,17,17,1,6,11,10,2,0,0,1,0,0,0,11,1,0,0,Apr,1544
1038,6019,52,PhD,Married,37126.0,30-03-2014,9,45,3,9,4,4,7,1,1,2,2,6,1,0,0,0,0,0,11,1,1,1,March,72
720,5114,58,Master,Married,74806.0,19-12-2012,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,11,0,1,1,December,965
1849,5010,35,Graduation,Single,25008.0,02-02-2014,72,2,8,8,6,1,9,2,1,0,3,8,0,0,0,0,0,0,11,0,0,1,Feb,34
270,2379,70,Graduation,Single,69267.0,22-09-2012,31,778,44,499,95,73,146,2,3,4,5,7,0,0,0,0,0,0,11,1,0,0,Sep,1635
1289,378,52,Graduation,Married,52531.0,30-12-2012,68,283,112,151,51,72,125,2,7,2,10,6,0,0,0,0,0,0,11,0,1,0,December,794
1309,6658,51,Graduation,Together,59868.0,22-07-2013,37,771,51,154,54,10,154,7,11,2,12,6,0,0,0,0,0,0,11,0,1,1,July,1194
1805,9284,65,Graduation,Together,53977.0,08-06-2013,21,620,16,165,0,24,82,5,5,5,12,5,0,0,0,0,0,0,11,0,1,1,Jun,907
2196,1839,49,Graduation,Single,43322.0,21-04-2014,25,56,7,48,10,2,18,1,3,0,4,7,0,0,0,0,0,0,11,0,0,0,Apr,141
1709,8070,50,PhD,Married,54222.0,01-03-2014,98,199,12,31,3,12,7,1,3,3,5,3,0,0,0,0,0,0,11,0,1,1,March,264
577,1160,53,Graduation,Married,13260.0,23-08-2013,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,11,0,1,2,Aug,49
2097,975,67,Graduation,Single,54252.0,28-05-2013,25,178,4,26,8,4,44,5,4,1,5,6,0,0,0,0,0,0,11,0,0,2,May,264
1915,10176,55,Graduation,Single,57107.0,24-08-2012,44,159,0,120,0,0,137,7,4,4,8,8,0,1,0,0,1,0,11,1,0,1,Aug,416
1946,10676,41,Graduation,Married,63211.0,02-11-2012,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,0,11,1,1,0,November,1173
1665,6437,38,2n Cycle,Single,41473.0,19-06-2013,80,21,8,20,15,3,9,1,2,0,3,7,0,0,0,0,0,0,11,0,0,1,Jun,76
1910,5832,63,2n Cycle,Together,92556.0,20-04-2014,32,493,183,352,184,23,28,0,3,5,13,0,0,0,0,0,0,0,11,0,1,0,Apr,1263
1451,6652,58,Graduation,Married,77343.0,09-06-2014,28,227,151,573,98,54,31,1,3,4,9,1,0,0,0,0,0,0,11,0,1,0,Jun,1134
1363,6181,73,2n Cycle,Together,52203.0,31-07-2012,36,488,21,238,56,108,28,1,8,7,11,6,0,0,0,0,0,0,11,0,1,0,July,939
715,10479,48,PhD,Married,76618.0,07-12-2012,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,11,0,1,0,December,1511
524,35,36,Graduation,Married,25545.0,08-09-2012,35,32,1,64,16,12,85,3,2,2,3,6,0,0,0,0,0,0,11,1,1,1,Sep,210
660,55,60,Graduation,Together,56253.0,07-12-2012,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,11,0,1,1,December,597
1810,5513,57,Graduation,Together,37758.0,04-10-2012,49,27,2,10,0,0,1,2,1,0,3,8,0,0,0,0,0,0,11,0,1,2,Oct,40
1927,2181,53,Graduation,Married,70617.0,23-06-2013,45,353,61,753,40,46,27,1,3,3,7,2,0,0,0,0,0,0,11,0,1,0,Jun,1280
1100,5538,48,Graduation,Divorced,83829.0,08-10-2013,78,897,161,430,186,161,27,0,4,7,6,1,1,0,1,1,0,0,11,1,0,0,Oct,1862
211,6521,69,Graduation,Together,77972.0,18-03-2014,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,11,0,1,0,March,1101
74,1050,71,Graduation,Married,28332.0,30-04-2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,11,0,1,0,Apr,65
1865,3678,50,Graduation,Widow,60208.0,07-10-2012,13,488,23,71,15,0,59,11,8,3,7,7,0,1,0,0,0,0,11,1,0,2,Oct,656
85,5268,63,Graduation,Married,29440.0,11-08-2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,11,0,1,2,Aug,56
1628,9986,41,Graduation,Together,19444.0,22-02-2014,8,16,0,23,3,2,10,3,4,1,2,7,0,0,0,0,0,0,11,1,1,1,Feb,54
1668,5299,53,PhD,Married,69084.0,19-11-2013,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,11,0,1,1,November,1586
1308,5758,41,Graduation,Married,65169.0,14-01-2014,23,1074,0,69,0,0,46,1,10,4,13,6,1,0,1,1,1,0,11,1,1,0,Yan,1189
2073,10643,36,PhD,Single,42000.0,10-01-2013,23,124,83,267,85,59,35,2,5,2,11,5,0,0,0,0,0,0,11,1,0,0,Yan,653
1380,10420,68,Master,Divorced,46390.0,05-05-2014,56,95,14,64,2,9,38,1,4,2,3,7,0,0,0,0,0,0,11,0,0,1,May,222
1902,5896,36,Master,Married,73395.0,18-03-2014,94,272,7,80,20,7,11,1,4,4,6,2,0,0,0,0,0,0,11,0,1,0,March,397
1549,2217,48,2n Cycle,Married,37284.0,29-03-2013,46,11,1,2,2,1,6,1,0,0,3,6,0,0,0,0,0,0,11,0,1,2,March,23
1321,10377,65,Master,Together,46692.0,06-06-2013,37,170,6,97,24,12,88,3,6,1,5,6,0,0,0,0,0,0,11,0,1,1,Jun,397
401,9999,58,Graduation,Together,75276.0,27-09-2012,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,11,0,1,0,Sep,1040
1076,4207,42,PhD,Married,87171.0,01-05-2013,27,1001,44,107,58,44,44,1,6,7,11,2,1,0,1,0,0,0,11,0,1,0,May,1298
