ID,Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_Revenue,Response,Marital_Status_Binary,Kids,date,monto_gastado
2278,38,2n Cycle,Single,33812.0,03-11-2012,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,11,0,0,1,November,133
9360,41,Graduation,Married,37040.0,08-08-2012,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,11,0,1,0,Aug,316
5376,44,Graduation,Married,2447.0,06-01-2013,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,11,0,1,1,Yan,1730
1993,74,PhD,Married,58607.0,23-12-2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,11,0,1,1,December,972
4047,69,PhD,Married,65324.0,11-01-2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,11,0,1,1,Yan,544
1409,72,Graduation,Together,40689.0,18-03-2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,11,0,1,1,March,444
7892,54,Graduation,Single,18589.0,02-01-2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,11,0,0,0,Yan,75
2404,47,Graduation,Married,53359.0,27-05-2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,11,0,1,2,May,257
5255,37,Graduation,Single,51381.5,20-02-2013,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,11,0,0,1,Feb,637
9422,34,Graduation,Married,38360.0,31-05-2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,11,0,1,1,May,131
1966,58,PhD,Married,84618.0,22-11-2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,11,0,1,0,November,1672
6864,34,Master,Divorced,10979.0,22-05-2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,11,0,0,0,May,30
3033,60,Master,Together,38620.0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,11,0,1,0,May,318
5710,53,Graduation,Together,40548.0,10-10-2012,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,11,0,1,1,Oct,120
7373,71,PhD,Divorced,46610.0,29-10-2012,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,11,1,0,2,Oct,302
8755,77,Master,Married,68657.0,20-02-2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,11,0,1,0,Feb,1196
10738,72,Master,Single,49389.0,29-08-2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,11,0,0,2,Aug,65
4339,53,PhD,Married,67353.0,31-12-2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,11,0,1,1,December,913
10755,47,2n Cycle,Married,23718.0,02-09-2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,11,0,1,1,Sep,81
8595,50,Graduation,Widow,42429.0,11-02-2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,11,0,0,1,Feb,67
2968,80,PhD,Divorced,48948.0,01-02-2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,11,1,0,0,Feb,902
8601,43,Graduation,Married,80011.0,29-04-2013,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,11,0,1,1,Apr,1395
503,38,Master,Married,20559.0,12-03-2013,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,11,0,1,1,March,53
8430,66,Graduation,Together,21994.0,24-12-2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,11,0,1,1,December,22
7281,64,PhD,Single,51381.5,05-11-2013,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,11,0,0,0,November,186
2139,48,Master,Married,7500.0,02-10-2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,11,0,1,1,Oct,31
1371,47,Graduation,Single,79941.0,28-06-2014,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,11,0,0,0,Jun,984
9909,27,2n Cycle,Married,7500.0,09-11-2012,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,11,1,1,0,November,122
7286,55,Graduation,Together,41728.0,24-05-2013,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,11,0,1,1,May,55
7244,72,Graduation,Single,51381.5,01-01-2014,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,11,0,0,3,Yan,124
6566,69,PhD,Married,72550.0,08-11-2012,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,11,0,1,2,November,1319
8614,66,Graduation,Widow,65486.0,12-05-2014,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,11,0,0,1,May,507
4114,59,Master,Married,79143.0,11-08-2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,11,0,1,0,Aug,1693
1331,46,Graduation,Single,35790.0,02-01-2013,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,11,0,0,1,Yan,72
2225,46,Graduation,Divorced,82582.0,07-06-2014,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,11,1,0,0,Jun,1617
9381,45,Graduation,Married,66373.0,12-06-2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,11,0,1,2,Jun,606
6260,68,Master,Together,82384.0,19-11-2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,11,1,1,0,November,1957
10383,57,Graduation,Divorced,70287.0,02-04-2013,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,11,1,0,0,Apr,1093
7437,35,Graduation,Single,27938.0,28-04-2014,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,11,0,0,1,Apr,29
8557,41,Graduation,Single,51381.5,17-06-2013,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,11,0,0,1,Jun,46
8375,55,PhD,Married,55954.0,03-03-2014,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,11,0,1,1,March,518
6853,41,Master,Single,75777.0,04-07-2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,11,1,0,0,July,1438
3076,48,Graduation,Together,66653.0,07-09-2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,11,0,1,2,Sep,612
1012,71,Graduation,Single,61823.0,18-02-2013,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,11,0,0,1,Feb,884
6518,72,PhD,Widow,67680.0,11-06-2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,11,0,0,1,Jun,606
4137,75,Graduation,Together,70666.0,06-12-2013,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,11,0,1,0,December,1076
8082,52,Graduation,Married,25721.0,21-05-2013,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,11,1,1,1,May,34
1386,56,Graduation,Together,32474.0,11-05-2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,11,0,1,2,May,11
9369,44,2n Cycle,Single,88194.0,19-03-2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,11,1,0,1,March,1274
4477,65,Graduation,Together,69096.0,27-09-2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,11,0,1,1,Sep,653
1357,53,Graduation,Together,74854.0,08-04-2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,11,0,1,3,Apr,1562
1402,69,Master,Married,66991.0,11-09-2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,11,0,1,0,Sep,1253
10629,50,2n Cycle,Married,51381.5,14-09-2012,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,11,0,1,1,Sep,109
6312,64,Graduation,Married,65031.0,17-03-2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,11,0,1,1,March,863
8132,48,PhD,Married,60631.0,05-04-2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,11,0,1,2,Apr,661
1050,71,Graduation,Married,28332.0,30-04-2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,11,0,1,0,Apr,65
5846,46,Graduation,Divorced,40246.0,19-12-2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,11,0,0,1,December,13
1859,51,Master,Married,75251.0,27-08-2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,11,1,1,0,Aug,1890
7503,47,Graduation,Single,75825.0,12-10-2012,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,11,1,0,0,Oct,2209
10401,47,2n Cycle,Together,26326.0,04-09-2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,11,0,1,0,Sep,18
1618,58,Graduation,Together,56046.0,02-01-2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,11,1,1,0,Yan,692
3332,38,Graduation,Single,29760.0,29-08-2012,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,11,0,0,1,Aug,165
2261,54,Graduation,Married,26304.0,23-06-2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,11,0,1,1,Jun,16
5346,50,2n Cycle,Married,23559.0,03-07-2013,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,11,0,1,1,July,79
4119,60,Master,Together,38620.0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,11,0,1,0,May,318
535,36,Graduation,Divorced,81361.0,25-02-2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,11,0,0,0,Feb,778
5268,63,Graduation,Married,29440.0,11-08-2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,11,0,1,2,Aug,56
273,53,Master,Married,36138.0,16-07-2013,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,11,0,1,2,July,151
4452,66,Graduation,Single,50388.0,28-05-2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,11,1,0,1,May,372
8504,50,Graduation,Married,79593.0,12-05-2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,11,0,1,0,May,1366
771,56,Graduation,Together,54178.0,21-01-2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,11,0,1,1,Yan,194
8996,66,PhD,Married,51381.5,19-11-2012,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,11,0,1,3,November,603
9235,66,Graduation,Single,51381.5,27-05-2014,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,11,0,0,2,May,18
5798,50,Master,Together,51381.5,23-11-2013,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,11,0,1,0,November,985
11178,51,Master,Single,42394.0,23-03-2014,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,11,0,0,1,March,32
2230,53,PhD,Married,23626.0,24-05-2014,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,11,0,1,1,May,43
7516,40,Graduation,Married,30096.0,22-05-2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,11,0,1,1,May,45
7247,63,Graduation,Widow,47916.0,22-11-2012,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,11,0,0,1,November,606
11100,51,Graduation,Divorced,51813.0,11-04-2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,11,0,0,2,Apr,63
4646,72,2n Cycle,Married,78497.0,01-12-2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,11,0,1,0,December,978
3037,40,PhD,Married,50150.0,20-06-2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,11,0,1,0,Jun,410
1473,63,2n Cycle,Single,47823.0,23-07-2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,11,0,0,1,July,72
1016,64,PhD,Single,34554.0,30-03-2014,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,11,0,0,1,March,55
4518,44,Graduation,Together,85693.0,20-04-2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,11,0,1,1,Apr,1169
9370,78,PhD,Married,65846.0,17-05-2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,11,0,1,0,May,1120
8908,64,Graduation,Married,87195.0,08-05-2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,11,1,1,0,May,1097
8373,44,Basic,Together,24594.0,10-12-2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,11,0,1,1,December,29
7533,59,Graduation,Married,49096.0,24-09-2013,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,11,0,1,2,Sep,187
2683,54,Graduation,Married,52413.0,02-02-2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,11,0,1,2,Feb,910
3629,45,Graduation,Single,38557.0,19-12-2012,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,11,0,0,1,December,145
10991,63,Master,Married,89058.0,07-12-2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,11,0,1,0,December,850
5077,44,Graduation,Together,77298.0,02-11-2013,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,11,0,1,1,November,969
7431,32,PhD,Single,68126.0,10-11-2012,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,11,1,0,0,November,1820
3267,60,Master,Together,57288.0,25-06-2014,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,11,0,1,1,Jun,608
999,32,Graduation,Single,86037.0,02-01-2013,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,11,1,0,0,Yan,730
9215,43,PhD,Married,43974.0,12-12-2012,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,11,0,1,1,December,551
2286,61,Graduation,Single,50785.0,10-09-2013,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,11,0,0,2,Sep,114
1592,53,Graduation,Married,90765.0,24-01-2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,11,0,1,0,Yan,1724
367,45,2n Cycle,Married,36550.0,19-02-2013,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,11,0,1,1,Feb,577
5234,56,2n Cycle,Together,30753.0,11-07-2013,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,11,0,1,2,July,81
9862,54,Graduation,Together,21918.0,14-11-2013,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,11,0,1,1,November,33
9805,70,Master,Together,56129.0,20-06-2013,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,11,0,1,1,Jun,660
6205,56,Master,Single,32557.0,24-02-2014,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,11,1,0,1,Feb,80
8442,38,Master,Married,19510.0,04-09-2013,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,11,0,1,2,Sep,30
7386,47,Graduation,Divorced,30992.0,22-04-2013,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,11,0,0,1,Apr,43
7215,40,Graduation,Single,101970.0,12-03-2013,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,11,1,0,0,March,1135
1491,58,2n Cycle,Together,71488.0,18-02-2013,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,11,0,1,0,Feb,559
11071,39,Graduation,Single,79607.0,21-04-2013,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,11,1,0,0,Apr,1923
3381,70,Master,Married,54348.0,08-06-2014,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,11,0,1,2,Jun,90
8268,62,PhD,Married,51381.5,11-07-2013,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,11,0,1,1,July,404
11051,67,PhD,Together,77376.0,10-05-2014,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,11,0,1,2,May,661
8026,71,Graduation,Married,62998.0,30-09-2013,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,11,0,1,1,Sep,463
433,65,Master,Alone,61331.0,10-03-2013,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,11,0,0,2,March,632
9597,54,Graduation,Married,73448.0,10-02-2014,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,11,0,1,0,Feb,725
1295,60,Graduation,Married,51381.5,11-08-2013,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,11,0,1,1,Aug,725
5290,59,PhD,Married,41551.0,14-08-2013,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,11,0,1,2,Aug,279
1685,56,PhD,Together,62981.0,17-03-2013,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,11,0,1,0,March,1482
5342,47,Basic,Divorced,9548.0,08-08-2012,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,11,0,0,1,Aug,29
9579,64,PhD,Married,33762.0,07-07-2013,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,11,0,1,3,July,106
7660,50,PhD,Alone,35860.0,19-05-2014,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,11,1,0,2,May,49
1461,58,PhD,Divorced,36921.0,28-07-2013,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,11,0,0,2,July,38
821,31,Master,Single,92859.0,19-10-2012,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,11,0,0,0,Oct,2077
11084,47,Master,Together,65104.0,14-11-2013,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,11,1,1,1,November,1053
8690,61,Graduation,Married,86111.0,19-04-2013,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,11,0,1,0,Apr,1385
2937,49,PhD,Single,68352.0,28-08-2013,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,11,0,0,1,Aug,871
9701,35,Graduation,Together,41883.0,19-03-2013,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,11,0,1,1,March,312
9949,47,Graduation,Married,59809.0,18-10-2012,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,11,0,1,2,Oct,877
10837,48,Graduation,Married,23957.0,28-10-2012,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,11,1,1,1,Oct,68
3120,42,Graduation,Together,38547.0,28-08-2013,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,11,0,1,1,Aug,22
5885,50,2n Cycle,Married,35688.0,22-08-2012,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,11,0,1,3,Aug,211
4050,57,Master,Married,49605.0,21-06-2014,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,11,0,1,0,Jun,127
3830,70,Master,Married,59354.0,24-04-2014,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,11,0,1,2,Apr,459
7987,54,Graduation,Married,65747.0,07-03-2014,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,11,0,1,1,March,460
7798,51,2n Cycle,Together,46344.0,14-12-2012,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,11,0,1,1,December,429
92,35,Graduation,Alone,34176.0,12-05-2014,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,11,0,0,1,May,89
7055,71,PhD,Together,61010.0,09-10-2012,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,11,0,1,1,Oct,1021
10240,74,Graduation,Together,69372.0,19-02-2013,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,11,1,1,0,Feb,1381
3025,65,Graduation,Single,49967.0,08-07-2013,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,11,0,0,1,July,306
9283,45,Graduation,Single,60199.0,12-09-2013,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,11,0,0,3,Sep,18
9970,46,Graduation,Together,55375.0,17-10-2013,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,11,0,1,1,Oct,162
2730,68,Graduation,Single,80317.0,20-08-2013,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,11,0,0,0,Aug,1231
2795,65,Master,Single,30523.0,01-07-2013,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,11,0,0,3,July,13
9260,78,PhD,Married,70356.0,05-11-2012,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,11,0,1,0,November,1706
8182,39,Graduation,Married,23228.0,05-01-2014,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,11,0,1,1,Yan,121
10095,48,PhD,Divorced,74165.0,01-05-2013,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,11,0,0,0,May,1293
8475,50,PhD,Married,157243.0,01-03-2014,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,11,0,1,1,March,1608
4370,57,Graduation,Together,43482.0,13-11-2013,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,11,0,1,3,November,88
10573,70,Graduation,Divorced,62551.0,18-11-2013,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,11,0,0,0,November,421
3712,64,Graduation,Divorced,52332.0,28-08-2013,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,11,0,0,0,Aug,259
6637,35,Graduation,Single,66951.0,02-11-2013,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,11,0,0,0,November,1117
3152,66,Graduation,Together,26091.0,25-02-2014,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,11,0,1,2,Feb,89
5610,58,Graduation,Together,33456.0,21-04-2014,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,11,0,1,2,Apr,36
6460,41,Graduation,Married,28718.0,13-07-2013,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,11,0,1,1,July,57
1349,53,Graduation,Married,50447.0,21-04-2014,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,11,0,1,2,Apr,148
1880,64,PhD,Together,53537.0,30-01-2014,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,11,0,1,2,Yan,93
641,56,Graduation,Single,52074.0,04-04-2014,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,11,0,0,1,Apr,119
8717,48,PhD,Married,80427.0,12-09-2012,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,11,0,1,1,Sep,1835
10314,75,PhD,Married,83837.0,16-12-2012,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,11,1,1,0,December,1318
10854,53,PhD,Married,38853.0,23-05-2014,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,11,0,1,2,May,45
10492,64,Graduation,Together,38285.0,24-06-2014,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,11,0,1,3,Jun,10
6935,72,2n Cycle,Married,78497.0,01-12-2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,11,0,1,0,December,978
7698,47,PhD,Married,51650.0,11-05-2014,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,11,0,1,1,May,191
3559,35,2n Cycle,Married,16248.0,10-05-2014,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,11,0,1,1,May,57
10562,77,Master,Married,66835.0,28-09-2013,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,11,0,1,0,Sep,1033
